tournament_id,tournament_name,year,start_date,end_date,host_country,winner,host_won,count_teams
WC-1930,1930 FIFA Men's World Cup,1930,7/13/1930,7/30/1930,Uruguay,Uruguay,1,13
WC-1934,1934 FIFA Men's World Cup,1934,5/27/1934,6/10/1934,Italy,Italy,1,16
WC-1938,1938 FIFA Men's World Cup,1938,6/4/1938,6/19/1938,France,Italy,0,15
WC-1950,1950 FIFA Men's World Cup,1950,6/24/1950,7/16/1950,Brazil,Uruguay,0,13
WC-1954,1954 FIFA Men's World Cup,1954,6/16/1954,7/4/1954,Switzerland,West Germany,0,16
WC-1958,1958 FIFA Men's World Cup,1958,6/8/1958,6/29/1958,Sweden,Brazil,0,16
WC-1962,1962 FIFA Men's World Cup,1962,5/30/1962,7/17/1962,Chile,Brazil,0,16
WC-1966,1966 FIFA Men's World Cup,1966,7/11/1966,7/30/1966,England,England,1,16
WC-1970,1970 FIFA Men's World Cup,1970,5/31/1970,6/21/1970,Mexico,Brazil,0,16
WC-1974,1974 FIFA Men's World Cup,1974,6/13/1974,7/7/1974,West Germany,West Germany,1,16
WC-1978,1978 FIFA Men's World Cup,1978,6/1/1978,6/25/1978,Argentina,Argentina,1,16
WC-1982,1982 FIFA Men's World Cup,1982,6/13/1982,7/11/1982,Spain,Italy,0,24
WC-1986,1986 FIFA Men's World Cup,1986,5/31/1986,6/29/1986,Mexico,Argentina,0,24
WC-1990,1990 FIFA Men's World Cup,1990,6/8/1990,7/8/1990,Italy,West Germany,0,24
WC-1991,1991 FIFA Women's World Cup,1991,11/16/1991,11/30/1991,China,United States,0,12
WC-1994,1994 FIFA Men's World Cup,1994,6/17/1994,7/17/1994,United States,Brazil,0,24
WC-1995,1995 FIFA Women's World Cup,1995,6/5/1995,6/18/1995,Sweden,Norway,0,12
WC-1998,1998 FIFA Men's World Cup,1998,6/10/1998,7/12/1998,France,France,1,32
WC-1999,1999 FIFA Women's World Cup,1999,6/19/1999,7/10/1999,United States,United States,1,16
WC-2002,2002 FIFA Men's World Cup,2002,5/31/2002,6/30/2002,"Korea, Japan",Brazil,0,32
WC-2003,2003 FIFA Women's World Cup,2003,9/20/2003,10/12/2003,United States,Germany,0,16
WC-2006,2006 FIFA Men's World Cup,2006,6/9/2006,7/9/2006,Germany,Italy,0,32
WC-2007,2007 FIFA Women's World Cup,2007,9/10/2007,9/30/2007,China,Germany,0,16
WC-2010,2010 FIFA Men's World Cup,2010,6/11/2010,7/11/2010,South Africa,Spain,0,32
WC-2011,2011 FIFA Women's World Cup,2011,6/26/2011,7/17/2011,Germany,Japan,0,16
WC-2014,2014 FIFA Men's World Cup,2014,6/12/2014,7/13/2014,Brazil,Germany,0,32
WC-2015,2015 FIFA Women's World Cup,2015,6/6/2015,7/5/2015,Canada,United States,0,24
WC-2018,2018 FIFA Men's World Cup,2018,6/14/2018,7/15/2018,Russia,France,0,32
WC-2019,2019 FIFA Women's World Cup,2019,6/7/2019,7/7/2019,France,United States,0,24
WC-2022,2022 FIFA Men's World Cup,2022,11/20/2022,12/18/2022,Qatar,Argentina,0,32
